Vehicle Name,Description,Kilometer,Price,Location,Condition
2009 Ford Territory TX Automatic SUV,"One owner. We bought it as an ex-demo from the dealership. It has some shopping trolly damage on the back other wise ok. This vehicle is a 7-seater Territory Extras include roof racks, has a tow bar, cd player and factory fitted imobiliser.",,"$5,999","Palmer, SA",
Swap/ sell/ trade/ wreck.,"Rover, ride on motor. Blown up Briggs Stratton motor, no long going. Old school, classic, vintage, may be good for spare parts to someone who has one, damage to motor only. Sell cash offers. Swap , what you got , to swap. Trade in, looking for a cheap newer ride on, in good condition, if you have something half decent and want to take this one as a trade, I have cash. Wreck, any parts you need or take it complete or put another motor in it. Located Bundaberg Qld pick up or I can deliver ",,Negotiable,"Bundaberg Central, QLD",
2015 Mazda 2 NEO,"Mazda 2 Neo SkyActiv is a cute and stylish looking 1.5L manual hatchback with modern day Features. Perfect for 1st Car Buyers or anyone looking for a small sized, reliable, low-maintenance car with Low kms. It's very zippy and smooth to drive. Features: ✅ Well Maintained Interior
✅ Push Start with 2 Remote Control Keys
✅ SRS Airbags
✅ Bluetooth with Phone and USB Connectivity
✅ AM - FM with CD Player + Aux Cord and Good Speakers
✅ Electric Mirrors + Power Steering + Electric Windows
✅ Good ",97350 km,"$12,990","Maddington, WA",Dealer used 
2013 BMW 3 Series F30 MY1112 328i Blue 8 Speed Sports Automatic Sedan,"Style.....Elegance.....Amazing performance......
This gorgeous blue BMW will be sure to impress anyone- fantastic vehicle boasting first class safety and outstanding looks..... this vehicle will be an asset in anyone's driveway!!!
All our vehicles undergo a full prepurchase inspection in our TACC approved service centre and we also offer competivtive onsite finance and warranty solutions.
We are a long established and reputable family business owned and operated by the same family, at the same ",67000 km,"$30,990","Derwent Park, TAS",Dealer used 
2015 Nissan Navara D23 DX 4x2 White 7 Speed Sports Automatic Utility,"REALLY A GREAT INEXPENSIVE UTE!!! FANTASTIC TO DRIVE AND EXTREEMLY RELIABLE!
All our vehicles undergo a full prepurchase inspection in our TACC approved service centre and we also offer competivtive onsite finance and warranty solutions.
We are a long established and reputable family business owned and operated by the same family, at the same Tasmanian premises for over 40 years, with a long standing record as a friendly, reliable, customer oriented dealership, dealing in new, used, prestige & ",77599 km,"$25,990","Derwent Park, TAS",Dealer used 
2012 Hyundai Elantra MD Premium White 6 Speed Sports Automatic Sedan,"*****24 Hours Money Back Guarantee, Sydney Metro*** Buy with confidence with our 24 hours money back guarantee to all vehicles sold to Sydney Metro Areas. All our vehicles come with Guaranteed cleared title Free Roadworthy certificate Free 100 point safety inspection 24 Hour Money Back Guarantee (condition applies) You can have chat to one of our in-house finance team for a free borrowing power assessment, and for finance deal tailored to your needs. Our state-of-the-art service d",128207 km,"$13,888","Castle Hill, NSW",Dealer used 
2014 Holden Cruze Sri V 6 Sp Automatic 5d Hatchback,"2014 Holden Cruze 1.6 Turbo SRiV in great condition. Full black leather interior, push button start, cruise control, Bluetooth, electric windows, reversing sensors, reversing camera, heated seats, sat nav, ice cold air con, height adjustable drivers seat. Dark tinted windows etc Recently had the timing belt done and serviced. Tyres are all good Rego until end of October 2021 Located in Woodvale No spam messages!",,"$10,950","Woodvale, WA",
2018 Nissan Leaf X ZE1 40KW,"Trade-ins welcome! 
We have competitive, same-day finance options and comprehensive protection plans from leading Australian providers. Our vehicles have been independently mechanically inspected and road tested for your peace of mind. With over 2000 late-model quality passenger and commercial vehicles available under cover at one convenient location, our best price first fixed-price philosophy equals better value for you and provides a simple no-haggle, no-hassle vehicle buying experience.",16901 km,"$38,988","Bentley, WA",Dealer used 
Bf mk2 xr6,Enquire for details,,"$5,000","Old Erowal Bay, NSW",
2015 Toyota Hilux GUN123R SR 4x2 White 5 Speed Manual Cab Chassis,"MANUAL 4X2 TURBO DIESEL SET UP READY TO WORK WITH A SERVICE BODY GREAT SERVICE HISTORY, EXCELLENT CONDITION FEATURING:
REVERSE CAMERA
TOW BAR
SHELVING
AIR CON CALL OUR FRIENDLY SALES TEAM TODAY! *COVID-19: PURCHASE A VEHICLE WITHOUT LEAVING YOUR HOME OR OFFICE!
*Completely contactless transactions available
*Ask us for a personalized video walkaround
*Australia wide, to your door, delivery available *****FREE ONE YEAR AUSTRALIA WIDE WARRANTY***** We are a 4x4 and Commercial Vehicle ",99886 km,"$24,990","Pakenham, VIC",Dealer used 
